Reference,Date,Title
CR 12793:1997,1997-03-19 00:00:00.0000000,Measurement of the carbonation depth of hardened concrete
CR 13933:2000,2000-07-19 00:00:00.0000000,Masonry cement - Testing for workability (cohesivity)
CEN/TR 15697:2008,2008-04-23 00:00:00.0000000,Cement - Performance testing for sulfate resistance - State of the art report
CEN/TR 15678:2008,2008-04-23 00:00:00.0000000,"Concrete - Release of regulated dangerous substances into soil, groundwater and surface water - Test method for new or unapproved constituents of concrete and for production concretes"
CEN/TR 16142:2011,2011-03-09 00:00:00.0000000,Concrete - A study of the characteristic leaching behaviour of hardened concrete for use in the natural environment
EN 13639:2017,2017-09-27 00:00:00.0000000,Determination of total organic carbon in limestone
CEN/TR 16632:2014,2014-06-18 00:00:00.0000000,Isothermal Conduction Calorimetry (ICC) for the determination of heat of hydration of cement: State of Art Report and Recommendations
CEN/TR 16912:2016,2016-05-25 00:00:00.0000000,Guidelines for a procedure to support the European standardization of cements
EN 413-2:2016,2016-10-12 00:00:00.0000000,Masonry cement - Part 2: Test methods
EN 196-3:2016,2016-11-23 00:00:00.0000000,Methods of testing cement - Part 3: Determination of setting times and soundness
EN 197-2:2020,2020-03-11 00:00:00.0000000,Cement - Part 2: Assessment and verification of constancy of performance
EN 196-10:2016,2016-05-18 00:00:00.0000000,"Methods of testing cement - Part 10: Determination of the water-soluble chromium (VI) content of cement "
EN 13282-3:2015,2015-04-01 00:00:00.0000000,Hydraulic road binders - Part 3: Conformity evaluation
EN 459-3:2015,2015-04-29 00:00:00.0000000,Building lime - Part 3: Conformity evaluation
EN 13282-2:2015,2015-04-29 00:00:00.0000000,"Hydraulic road binders - Part 2: Normal hardening hydraulic road binders - Composition, specifications and conformity criteria "
EN 459-1:2015,2015-04-29 00:00:00.0000000,"Building lime - Part 1: Definitions, specifications and conformity criteria"
EN 196-1:2016,2016-04-27 00:00:00.0000000,Methods of testing cement - Part 1: Determination of strength
EN 197-1:2011,2011-09-14 00:00:00.0000000,"Cement - Part 1: Composition, specifications and conformity criteria for common cements"
CEN/TS 12390-9:2016,2016-12-07 00:00:00.0000000,Testing hardened concrete - Part 9: Freeze-thaw resistance with de-icing salts - Scaling
EN 196-9:2010,2010-03-24 00:00:00.0000000,Methods of testing cement - Part 9: Heat of hydration - Semi-adiabatic method
CEN/TR 15177:2006,2006-04-12 00:00:00.0000000,Testing the freeze-thaw resistance of concrete - Internal structural damage
EN 15368:2008+A1:2010,2010-06-16 00:00:00.0000000,"Hydraulic binder for non-structural applications - Definition, specifications and conformity criteria"
EN 196-6:2018,2018-12-19 00:00:00.0000000,Methods of testing cement - Part 6: Determination of fineness
EN 196-8:2010,2010-03-24 00:00:00.0000000,Methods of testing cement - Part 8: Heat of hydration - Solution method
CEN/TR 17365:2019,2019-05-22 00:00:00.0000000,Method for the determination of C3A in the clinker from cement analysis
CEN/TR 14245:2020,2020-03-11 00:00:00.0000000,Cement - Guidelines for the application of EN 197-2: Assessment and verification of constancy of performance
EN 13282-1:2013,2013-03-06 00:00:00.0000000,"Hydraulic road binders - Part 1: Rapid hardening hydraulic road binders - Composition, specifications and conformity criteria"
CEN/TR 196-4:2007,2007-09-19 00:00:00.0000000,Methods of testing cement - Part 4: Quantitative determination of constituents
EN 196-5:2011,2011-03-23 00:00:00.0000000,Methods of testing cement - Part 5: Pozzolanicity test for pozzolanic cement
EN 14216:2015,2015-07-15 00:00:00.0000000,"Cement - Composition, specifications and conformity criteria for very low heat special cements"
EN 16908:2017,2017-02-01 00:00:00.0000000,Cement and building lime - Environmental product declarations - Product category rules complementary to EN 15804
EN 14647:2005/AC:2006,2006-11-29 00:00:00.0000000,"Calcium aluminate cement - Composition, specifications and conformity criteria"
EN 196-11:2018,2018-12-19 00:00:00.0000000,Methods of testing cement - Part 11: Heat of hydration - Isothermal Conduction Calorimetry method
EN 459-2:2010,2010-09-08 00:00:00.0000000,Building lime - Part 2: Test methods
EN 15743:2010+A1:2015,2015-04-08 00:00:00.0000000,"Supersulfated cement - Composition, specifications and conformity criteria"
