Reference,Date,Title
ATG-4,2009-01-01,AASHTO transportation glossary
CEN/TR 14245:2020,2020-03-11,Cement - Guidelines for the application of EN 197-2: Assessment and verification of constancy of performance
CEN/TR 14568:2003,2003-08-20,EN 54 - Fire detection and fire alarm systems - Interpretation of specific clauses of EN 54-2:1997
CEN/TR 14823,1900-01-01,durability of wood and wood-based products - quantitative determination of pentachlorophenol in wood - gas chromatographic method
CEN/TR 15177:2006,2006-04-12,Testing the freeze-thaw resistance of concrete - Internal structural damage
CEN/TR 15226:2006,2006-03-29,Building products - Treatment of acoustics in product technical specifications
CEN/TR 15678:2008,2008-04-23,"Concrete - Release of regulated dangerous substances into soil, groundwater and surface water - Test method for new or unapproved constituents of concrete and for production concretes"
CEN/TR 15697:2008,2008-04-23,Cement - Performance testing for sulfate resistance - State of the art report
CEN/TR 15855:2009,2009-03-11,Construction products - Assessment of release of dangerous substances - Barriers to trade
CEN/TR 15858:2009,2009-03-25,"Construction products - Assessment of the release of regulated dangerous substances from construction products based on the WT, WFT/FT procedures"
CEN/TR 15941:2010,2010-05-26,Sustainability of construction works - Environmental product declarations - Methodology for selection and use of generic data
CEN/TR 16045:2010,2010-11-03,Construction Products - Assessment of release of dangerous substances - Content of regulated dangerous substances - Selection of analytical methods
CEN/TR 16098:2010,2010-11-03,Construction products: Assessment of release of dangerous substances - Concept of horizontal testing procedures in support of requirements under the CPD
CEN/TR 16142:2011,2011-03-09,Concrete - A study of the characteristic leaching behaviour of hardened concrete for use in the natural environment
CEN/TR 16220:2011,2011-08-31,Construction products - Assessment of release of dangerous substances - Complement to sampling
CEN/TR 16410:2012,2012-10-17,Construction products - Assessment of release of dangerous substances - Barriers to use - Extension to CEN/TR 15855 Barriers to trade
CEN/TR 16496:2013,2013-10-02,Construction Products - Assessment of release of dangerous substances - Use of harmonised horizontal assessment methods
CEN/TR 16632:2014,2014-06-18,Isothermal Conduction Calorimetry (ICC) for the determination of heat of hydration of cement: State of Art Report and Recommendations
CEN/TR 16797-1:2015,2015-08-26,Construction products: Assessment of release of dangerous substances - Guidance on the statistical assessment of declared values - Part 1: Principles and rules of application
CEN/TR 16797-2:2015,2015-08-26,Construction products: Assessment of release of dangerous substances - Guidance on the statistical assessment of declared values - Part 2: Technical and statistical background
CEN/TR 16912:2016,2016-05-25,Guidelines for a procedure to support the European standardization of cements
CEN/TR 16961:2018,2018-05-23,Declaration of uncertainties in test reports
CEN/TR 16970:2016,2016-07-27,Sustainability of construction works - Guidance for the implementation of EN 15804
CEN/TR 17005:2016,2016-10-26,Sustainability of construction works - Additional environmental impact categories and indicators - Background information and possibilities - Evaluation of the possibility of adding environmental impact categories and related indicators and calculation methods for the assessment of the environmental performance of buildings
CEN/TR 17068:2017,2017-02-15,Sealants for non-structural use in joints in buildings and pedestrian walkways - Guidance for CE marking and Declaration of Performance (DoP)
CEN/TR 17105:2017,2017-06-14,Construction products - Assessment of release of dangerous substances - Guidance on the use of ecotoxicity tests applied to construction products
CEN/TR 17113:2017,2017-10-18,Construction products - Assessment of release of dangerous substances - Radiation from construction products - Dose assessment of emitted gamma radiation
